place1,relation,place2,triplet,question,options,answer,option_sources
Lindley,east,Bromley Cross,Lindley is east Bromley Cross,Which city is located in east of Bromley Cross?,"A. Little Lever and Darcy Lever
B. Lindley
C. Thorne & Moorends",B. Lindley,"random,correct,hard"
Broomhill & Sharrow Vale,east,Westhoughton North and Chew Moor,Broomhill & Sharrow Vale is east Westhoughton North and Chew Moor,Which city is located in east of Westhoughton North and Chew Moor?,"A. Broomhill & Sharrow Vale
B. South Elmsall and South Kirkby
C. Edenthorpe",A. Broomhill & Sharrow Vale,"correct,hard,random"
Wharfedale,east,Farnworth,Wharfedale is east Farnworth,Which city is located in east of Farnworth?,"A. Morley West Yorkshire
B. Wharfedale
C. Soho and Victoria",B. Wharfedale,"hard,correct,random"
Felling,east,Ryton Crookhill and Stella,Felling is east Ryton Crookhill and Stella,Which city is located in east of Ryton Crookhill and Stella?,"A. Longbenton
B. Craven
C. Felling",C. Felling,"hard,random,correct"
Middleton Park,east,Farnworth,Middleton Park is east Farnworth,Which city is located in east of Farnworth?,"A. Morley West Yorkshire
B. Horbury and South Ossett
C. Middleton Park",C. Middleton Park,"hard,random,correct"
Wainbody,east,Norton,Wainbody is east Norton,Which city is located in east of Norton?,"A. Wainbody
B. Binley and Willenhall
C. Stockbridge",A. Wainbody,"correct,hard,random"
Richmond,east,Ford,Richmond is east Ford,Which city is located in east of Ford?,"A. Heswall
B. Bold St Helens
C. Richmond",C. Richmond,"hard,random,correct"
Great Lever,east,Hoylake and Meols,Great Lever is east Hoylake and Meols,Which city is located in east of Hoylake and Meols?,"A. Copt Hill
B. Silverwood
C. Great Lever",C. Great Lever,"random,hard,correct"
Cullercoats,east,Saltwell,Cullercoats is east Saltwell,Which city is located in east of Saltwell?,"A. Cullercoats
B. Chirton
C. Miles Platting and Newton Heath",A. Cullercoats,"correct,hard,random"
Swinton,east,Hoober,Swinton is east Hoober,Which city is located in east of Hoober?,"A. Swinton
B. Bournville
C. Audenshaw",A. Swinton,"correct,random,hard"
Crompton,east,Birkenhead and Tranmere,Crompton is east Birkenhead and Tranmere,Which city is located in east of Birkenhead and Tranmere?,"A. Kings Norton
B. Halewood
C. Crompton",C. Crompton,"random,hard,correct"
Conisbrough Parks,east,Altrincham,Conisbrough Parks is east Altrincham,Which city is located in east of Altrincham?,"A. Greenhead
B. Conisbrough Parks
C. Town",B. Conisbrough Parks,"random,correct,hard"
Wyke,east,Norwood,Wyke is east Norwood,Which city is located in east of Norwood?,"A. Wyke
B. Tong
C. Burnage",A. Wyke,"correct,random,hard"
West Ecclesfield,east,Wigan West,West Ecclesfield is east Wigan West,Which city is located in east of Wigan West?,"A. Dewsbury South
B. Pallion
C. West Ecclesfield",C. West Ecclesfield,"hard,random,correct"
Sprotbrough and Cusworth,east,Halliwell,Sprotbrough and Cusworth is east Halliwell,Which city is located in east of Halliwell?,"A. Ramsbottom
B. Sprotbrough and Cusworth
C. Brinnington and Central",B. Sprotbrough and Cusworth,"hard,correct,random"
Lower Stoke,east,Acocks Green,Lower Stoke is east Acocks Green,Which city is located in east of Acocks Green?,"A. Lower Stoke
B. Newsome
C. Wallsend",A. Lower Stoke,"correct,hard,random"
Nether Edge & Sharrow,east,Cheadle Hulme North,Nether Edge & Sharrow is east Cheadle Hulme North,Which city is located in east of Cheadle Hulme North?,"A. Nether Edge & Sharrow
B. Shevington with Lower Ground
C. Town",A. Nether Edge & Sharrow,"correct,random,hard"
Crofton Ryhill and Walton,east,Leigh West,Crofton Ryhill and Walton is east Leigh West,Which city is located in east of Leigh West?,"A. Crofton Ryhill and Walton
B. Roundhay
C. Cambridge",A. Crofton Ryhill and Walton,"correct,hard,random"
Radford,east,Friar Park,Radford is east Friar Park,Which city is located in east of Friar Park?,"A. Radford
B. Ovenden
C. Washington Central",A. Radford,"correct,hard,random"
Gleadless Valley,east,Swinton South,Gleadless Valley is east Swinton South,Which city is located in east of Swinton South?,"A. Bramley and Stanningley
B. Gleadless Valley
C. County",B. Gleadless Valley,"hard,correct,random"
Davenport and Cale Green,east,Hindley Green,Davenport and Cale Green is east Hindley Green,Which city is located in east of Hindley Green?,"A. Silverwood
B. Great Lever
C. Davenport and Cale Green",C. Davenport and Cale Green,"hard,random,correct"
Brighouse,east,Leasowe and Moreton East,Brighouse is east Leasowe and Moreton East,Which city is located in east of Leasowe and Moreton East?,"A. Ashbrow
B. Brighouse
C. Cheetham",B. Brighouse,"random,correct,hard"
Ashton St. Michael's,east,St. Peter's,Ashton St. Michael's is east St. Peter's,Which city is located in east of St. Peter's?,"A. Ashton St. Michael's
B. Weaste and Seedley
C. Denby Dale",A. Ashton St. Michael's,"correct,hard,random"
Tipton Green,east,Sedgley,Tipton Green is east Sedgley,Which city is located in east of Sedgley?,"A. Tipton Green
B. Batley East
C. Town",A. Tipton Green,"correct,random,hard"
Royton South,east,Riverside,Royton South is east Riverside,Which city is located in east of Riverside?,"A. Queensbury
B. Sparkbrook
C. Royton South",C. Royton South,"hard,random,correct"
Penistone,east,Princes Park,Penistone is east Princes Park,Which city is located in east of Princes Park?,"A. Penistone
B. Tipton Green
C. Wombwell",A. Penistone,"correct,random,hard"
Penistone,east,Meols,Penistone is east Meols,Which city is located in east of Meols?,"A. Penistone
B. Harington
C. Kingstone",A. Penistone,"correct,random,hard"
Calder,east,Earlestown,Calder is east Earlestown,Which city is located in east of Earlestown?,"A. Ainsdale
B. Whiston & Cronton
C. Calder",C. Calder,"random,hard,correct"
Normanton West Yorkshire,east,Stalybridge North,Normanton West Yorkshire is east Stalybridge North,Which city is located in east of Stalybridge North?,"A. Holbrook
B. Normanton West Yorkshire
C. Lamesley",B. Normanton West Yorkshire,"hard,correct,random"
Todmorden,east,Sudell,Todmorden is east Sudell,Which city is located in east of Sudell?,"A. Todmorden
B. Crumpsall
C. Ardwick",A. Todmorden,"correct,random,hard"
Calder,east,Kew,Calder is east Kew,Which city is located in east of Kew?,"A. Bentley
B. Mossley
C. Calder",C. Calder,"hard,random,correct"
Ashton Waterloo,east,Timperley,Ashton Waterloo is east Timperley,Which city is located in east of Timperley?,"A. Ashton Waterloo
B. Sprotbrough and Cusworth
C. Chowdene",A. Ashton Waterloo,"correct,hard,random"
Cleckheaton,east,Warley,Cleckheaton is east Warley,Which city is located in east of Warley?,"A. Monkseaton North
B. Cleckheaton
C. Heckmondwike",B. Cleckheaton,"random,correct,hard"
Valley,east,Cheetham,Valley is east Cheetham,Which city is located in east of Cheetham?,"A. Valley
B. Mirfield
C. Ravenmeols",A. Valley,"correct,hard,random"
Langworthy,east,Aspull New Springs Whelley,Langworthy is east Aspull New Springs Whelley,Which city is located in east of Aspull New Springs Whelley?,"A. Langworthy
B. Alexandra
C. Denby Dale",A. Langworthy,"correct,hard,random"
Clayton and Fairweather Green,east,Cressington,Clayton and Fairweather Green is east Cressington,Which city is located in east of Cressington?,"A. Bilston East
B. Davyhulme East
C. Clayton and Fairweather Green",C. Clayton and Fairweather Green,"random,hard,correct"
Normanton West Yorkshire,east,Leigh South,Normanton West Yorkshire is east Leigh South,Which city is located in east of Leigh South?,"A. Hipperholme and Lightcliffe
B. Normanton West Yorkshire
C. Failsworth West",B. Normanton West Yorkshire,"random,correct,hard"
Saddleworth,east,Flixton,Saddleworth is east Flixton,Which city is located in east of Flixton?,"A. Bredbury and Woodley
B. Saddleworth
C. Cressington",B. Saddleworth,"hard,correct,random"
Longdendale,east,Miles Platting and Newton Heath,Longdendale is east Miles Platting and Newton Heath,Which city is located in east of Miles Platting and Newton Heath?,"A. Upper Stoke
B. Longdendale
C. Dodworth",B. Longdendale,"random,correct,hard"
Chelmsley Wood,east,Northfield,Chelmsley Wood is east Northfield,Which city is located in east of Northfield?,"A. Lobley Hill and Bensham
B. Ford
C. Chelmsley Wood",C. Chelmsley Wood,"random,hard,correct"
Baildon,east,Worth Valley,Baildon is east Worth Valley,Which city is located in east of Worth Valley?,"A. Baildon
B. Keighley West
C. East Middleton",A. Baildon,"correct,random,hard"
Armley,east,Keighley,Armley is east Keighley,Which city is located in east of Keighley?,"A. Park
B. Armley
C. Ardsley and Robin Hood",B. Armley,"random,correct,hard"
Hexthorpe & Balby North,east,Shiregreen & Brightside,Hexthorpe & Balby North is east Shiregreen & Brightside,Which city is located in east of Shiregreen & Brightside?,"A. Brockmoor and Pensnett
B. Keppel
C. Hexthorpe & Balby North",C. Hexthorpe & Balby North,"hard,random,correct"
Longdendale,east,Reddish North,Longdendale is east Reddish North,Which city is located in east of Reddish North?,"A. Finningley
B. Longdendale
C. Metropolitan Borough of Oldham",B. Longdendale,"hard,correct,random"
Davyhulme East,east,Cressington,Davyhulme East is east Cressington,Which city is located in east of Cressington?,"A. Clayton and Fairweather Green
B. Northumberland
C. Davyhulme East",C. Davyhulme East,"hard,random,correct"
Longford,east,Moseley and Kings Heath,Longford is east Moseley and Kings Heath,Which city is located in east of Moseley and Kings Heath?,"A. Longford
B. Hodge Hill
C. Newsome",A. Longford,"correct,hard,random"
Birstall and Birkenshaw,east,Farnworth,Birstall and Birkenshaw is east Farnworth,Which city is located in east of Farnworth?,"A. Middleton Park
B. Charlestown
C. Birstall and Birkenshaw",C. Birstall and Birkenshaw,"hard,random,correct"
Moorside,east,Claughton,Moorside is east Claughton,Which city is located in east of Claughton?,"A. Wallsend
B. Whiston & Cronton
C. Moorside",C. Moorside,"random,hard,correct"
Cross Gates and Whinmoor,east,Stockbridge,Cross Gates and Whinmoor is east Stockbridge,Which city is located in east of Stockbridge?,"A. Charlestown
B. Cross Gates and Whinmoor
C. Wakefield North",B. Cross Gates and Whinmoor,"hard,correct,random"
Old Moat,east,Heswall,Old Moat is east Heswall,Which city is located in east of Heswall?,"A. Knotty Ash
B. Harton
C. Old Moat",C. Old Moat,"hard,random,correct"
Chapel Allerton,east,Cadishead,Chapel Allerton is east Cadishead,Which city is located in east of Cadishead?,"A. High Fell
B. Moreton West and Saughall Massie
C. Chapel Allerton",C. Chapel Allerton,"hard,random,correct"
Hyde Park and Woodhouse,east,Rainhill,Hyde Park and Woodhouse is east Rainhill,Which city is located in east of Rainhill?,"A. Hyde Park and Woodhouse
B. Hyde Newton
C. Armthorpe",A. Hyde Park and Woodhouse,"correct,hard,random"
Northenden,east,Winstanley,Northenden is east Winstanley,Which city is located in east of Winstanley?,"A. Dene
B. Northenden
C. Spotland and Falinge",B. Northenden,"random,correct,hard"
City,east,St. Mary's,City is east St. Mary's,Which city is located in east of St. Mary's?,"A. City
B. Greasby Frankby and Irby
C. Finningley",A. City,"correct,random,hard"
Anston and Woodsetts,east,Harper Green,Anston and Woodsetts is east Harper Green,Which city is located in east of Harper Green?,"A. Sudell
B. Chapel Allerton
C. Anston and Woodsetts",C. Anston and Woodsetts,"random,hard,correct"
Newsome,east,Broadheath,Newsome is east Broadheath,Which city is located in east of Broadheath?,"A. Church
B. Newsome
C. Dukinfield",B. Newsome,"random,correct,hard"
Sedgley,east,Cambridge,Sedgley is east Cambridge,Which city is located in east of Cambridge?,"A. Maltby South Yorkshire
B. Sedgley
C. Smallbridge and Firgrove",B. Sedgley,"hard,correct,random"
Harper Green,east,Thatto Heath,Harper Green is east Thatto Heath,Which city is located in east of Thatto Heath?,"A. Harper Green
B. Pontefract North
C. Darton East",A. Harper Green,"correct,random,hard"
Killingbeck and Seacroft,east,Bingley,Killingbeck and Seacroft is east Bingley,Which city is located in east of Bingley?,"A. Killingbeck and Seacroft
B. Flixton
C. Chadderton South",A. Killingbeck and Seacroft,"correct,hard,random"
Radford,east,Handsworth Wood,Radford is east Handsworth Wood,Which city is located in east of Handsworth Wood?,"A. Rockingham
B. Eccleston St Helens
C. Radford",C. Radford,"hard,random,correct"
Adwick le Street & Carcroft,east,Kersal,Adwick le Street & Carcroft is east Kersal,Which city is located in east of Kersal?,"A. Adwick le Street & Carcroft
B. Shirley East
C. Airedale and Ferry Fryston",A. Adwick le Street & Carcroft,"correct,random,hard"
Fulwood,east,St. Mary's,Fulwood is east St. Mary's,Which city is located in east of St. Mary's?,"A. Camperdown
B. Finningley
C. Fulwood",C. Fulwood,"random,hard,correct"
Charlestown,east,Stockbridge,Charlestown is east Stockbridge,Which city is located in east of Stockbridge?,"A. Bridges
B. Charlestown
C. Dodworth",B. Charlestown,"random,correct,hard"
Crosland Moor and Netherton,east,Fallowfield,Crosland Moor and Netherton is east Fallowfield,Which city is located in east of Fallowfield?,"A. Maltby South Yorkshire
B. Crosland Moor and Netherton
C. Blythe",B. Crosland Moor and Netherton,"random,correct,hard"
Penistone,east,East Middleton,Penistone is east East Middleton,Which city is located in east of East Middleton?,"A. Penistone
B. Silhill
C. Ashton Hurst",A. Penistone,"correct,random,hard"
Heald Green,east,Molyneux,Heald Green is east Molyneux,Which city is located in east of Molyneux?,"A. Broughton
B. Heald Green
C. Darfield",B. Heald Green,"hard,correct,random"
Adel and Wharfedale,east,Sowerby Bridge,Adel and Wharfedale is east Sowerby Bridge,Which city is located in east of Sowerby Bridge?,"A. Wheatley Hills & Intake
B. Adel and Wharfedale
C. Westerhope",B. Adel and Wharfedale,"random,correct,hard"
Southey,east,Netherton and Orrell,Southey is east Netherton and Orrell,Which city is located in east of Netherton and Orrell?,"A. Southey
B. Pemberton
C. Wyken",A. Southey,"correct,hard,random"
Rusholme,east,Ordsall,Rusholme is east Ordsall,Which city is located in east of Ordsall?,"A. Rusholme
B. Middleton Park
C. Bradford Moor",A. Rusholme,"correct,random,hard"
Pilkington Park,east,Whitefield,Pilkington Park is east Whitefield,Which city is located in east of Whitefield?,"A. East
B. Dunston Hill and Whickham East
C. Pilkington Park",C. Pilkington Park,"hard,random,correct"
Wombwell,east,Medlock Vale,Wombwell is east Medlock Vale,Which city is located in east of Medlock Vale?,"A. Wombwell
B. Fallings Park
C. Short Heath",A. Wombwell,"correct,random,hard"
St. Mary's,east,Shevington,St. Mary's is east Shevington,Which city is located in east of Shevington?,"A. St. Mary's
B. Denton West
C. Tuebrook and Stoneycroft",A. St. Mary's,"correct,hard,random"
Morley West Yorkshire,east,Farnworth,Morley West Yorkshire is east Farnworth,Which city is located in east of Farnworth?,"A. Metropolitan Borough of Wirral
B. Morley West Yorkshire
C. Middleton Park",B. Morley West Yorkshire,"random,correct,hard"
Shard End,east,St. Thomas's,Shard End is east St. Thomas's,Which city is located in east of St. Thomas's?,"A. Mossley
B. Billinge and Seneley Green
C. Shard End",C. Shard End,"random,hard,correct"
Boston Castle,east,Irlam,Boston Castle is east Irlam,Which city is located in east of Irlam?,"A. Monk Bretton
B. Manor
C. Boston Castle",C. Boston Castle,"random,hard,correct"
