place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,options,answer,option_sources
Princes Park,north,Pedmore and Stourbridge East,within,Liverpool,far,Stanley and Outwood East,"Princes Park within Liverpool, far to Stanley and Outwood East, and north of Pedmore and Stourbridge East",Which city is within Liverpool and also far to Stanley and Outwood East and north of Pedmore and Stourbridge East?,"A. Clatterbridge
B. Princes Park
C. Doxford",B. Princes Park,"random,correct,partial"
Birstall and Birkenshaw,north,Penn,within,Kirklees,far,Sheldon,"Birstall and Birkenshaw within Kirklees, far to Sheldon, and north of Penn",Which city is within Kirklees and also far to Sheldon and north of Penn?,"A. Birstall and Birkenshaw
B. Hillsborough
C. Liversedge and Gomersal",A. Birstall and Birkenshaw,"correct,random,partial"
Fulwood,north,Bickenhill,borders,Dore & Totley,near,Stocksbridge & Upper Don,"Fulwood borders Dore & Totley, near to Stocksbridge & Upper Don, and north of Bickenhill",Which city borders Dore & Totley and is also near to Stocksbridge & Upper Don and north of Bickenhill?,"A. Fulwood
B. Manor
C. Keppel",A. Fulwood,"correct,partial,random"
Broughton,north,Hale Central,borders,Kersal,near,Cheetham,"Broughton borders Kersal, near to Cheetham, and north of Hale Central",Which city borders Kersal and is also near to Cheetham and north of Hale Central?,"A. Broughton
B. Crumpsall
C. Gipton and Harehills",A. Broughton,"correct,partial,random"
North Jesmond,north,Orrell,borders,Dene,near,Windy Nook and Whitehills,"North Jesmond borders Dene, near to Windy Nook and Whitehills, and north of Orrell",Which city borders Dene and is also near to Windy Nook and Whitehills and north of Orrell?,"A. High Fell
B. Crofton Ryhill and Walton
C. North Jesmond",C. North Jesmond,"partial,random,correct"
Thatto Heath,north,Castle and Priory,borders,Sutton Weaver (civil parish),near,Town Centre,"Thatto Heath borders Sutton Weaver (civil parish), near to Town Centre, and north of Castle and Priory",Which city borders Sutton Weaver (civil parish) and is also near to Town Centre and north of Castle and Priory?,"A. Manor
B. Thatto Heath
C. Chadderton North",B. Thatto Heath,"partial,correct,random"
Pilkington Park,north,Langley,borders,Unsworth,near,West Heywood,"Pilkington Park borders Unsworth, near to West Heywood, and north of Langley",Which city borders Unsworth and is also near to West Heywood and north of Langley?,"A. Newton
B. Pilkington Park
C. Kirkburton",B. Pilkington Park,"partial,correct,random"
Fawdon,north,West Ecclesfield,borders,Parklands,near,Longbenton,"Fawdon borders Parklands, near to Longbenton, and north of West Ecclesfield",Which city borders Parklands and is also near to Longbenton and north of West Ecclesfield?,"A. Fawdon
B. Speke-Garston
C. Benton",A. Fawdon,"correct,random,partial"
Kingswinford North and Wall Heath,north,Longbridge,borders,Gornal,near,Kingswinford South,"Kingswinford North and Wall Heath borders Gornal, near to Kingswinford South, and north of Longbridge",Which city borders Gornal and is also near to Kingswinford South and north of Longbridge?,"A. County Borough of Leeds
B. Kingswinford North and Wall Heath
C. Belle Vale",B. Kingswinford North and Wall Heath,"random,correct,partial"
Anfield,north,South Yardley,borders,Everton,near,Kirkdale,"Anfield borders Everton, near to Kirkdale, and north of South Yardley",Which city borders Everton and is also near to Kirkdale and north of South Yardley?,"A. Wharfedale
B. Town
C. Anfield",C. Anfield,"random,partial,correct"
Blakenhall,north,Rowley,borders,Spring Vale,near,Ettingshall,"Blakenhall borders Spring Vale, near to Ettingshall, and north of Rowley",Which city borders Spring Vale and is also near to Ettingshall and north of Rowley?,"A. Blakenhall
B. Harington
C. Brooklands",A. Blakenhall,"correct,random,partial"
Denton North East,north,Bredbury Green and Romiley,borders,Dukinfield,near,Longdendale,"Denton North East borders Dukinfield, near to Longdendale, and north of Bredbury Green and Romiley",Which city borders Dukinfield and is also near to Longdendale and north of Bredbury Green and Romiley?,"A. Audenshaw
B. Mosborough
C. Denton North East",C. Denton North East,"partial,random,correct"
South Jesmond,north,Manor Castle,borders,Ouseburn,near,Westgate,"South Jesmond borders Ouseburn, near to Westgate, and north of Manor Castle",Which city borders Ouseburn and is also near to Westgate and north of Manor Castle?,"A. South Jesmond
B. West Gosforth
C. Kingshurst and Fordbridge",A. South Jesmond,"correct,partial,random"
Edlington & Warmsworth,north,St. Alphege,borders,Tickhill & Wadsworth,near,Sprotbrough and Cusworth,"Edlington & Warmsworth borders Tickhill & Wadsworth, near to Sprotbrough and Cusworth, and north of St. Alphege",Which city borders Tickhill & Wadsworth and is also near to Sprotbrough and Cusworth and north of St. Alphege?,"A. Edlington & Warmsworth
B. Hollinwood
C. Ackworth North Elmsall and Upton",A. Edlington & Warmsworth,"correct,random,partial"
Clatterbridge,north,Northfield,borders,Heswall,near,Upton,"Clatterbridge borders Heswall, near to Upton, and north of Northfield",Which city borders Heswall and is also near to Upton and north of Northfield?,"A. Riverside
B. Clatterbridge
C. Hexthorpe & Balby North",B. Clatterbridge,"partial,correct,random"
West Bromwich Central,north,Finstall,borders,Wednesbury South,near,Finstall,"West Bromwich Central borders Wednesbury South, near to Finstall, and north of Finstall",Which city borders Wednesbury South and is also near to Finstall and north of Finstall?,"A. Oldbury
B. Wetherby
C. West Bromwich Central",C. West Bromwich Central,"partial,random,correct"
Stainforth & Barnby Dun,north,Anston and Woodsetts,borders,Hatfield,near,Edenthorpe,"Stainforth & Barnby Dun borders Hatfield, near to Edenthorpe, and north of Anston and Woodsetts",Which city borders Hatfield and is also near to Edenthorpe and north of Anston and Woodsetts?,"A. Stainforth & Barnby Dun
B. Manningham
C. Valley",A. Stainforth & Barnby Dun,"correct,random,partial"
Aldridge North and Walsall Wood,north,Finstall,borders,Rushall-Shelfield,near,Bloxwich East,"Aldridge North and Walsall Wood borders Rushall-Shelfield, near to Bloxwich East, and north of Finstall",Which city borders Rushall-Shelfield and is also near to Bloxwich East and north of Finstall?,"A. Washington North
B. Aldridge North and Walsall Wood
C. Newton",B. Aldridge North and Walsall Wood,"random,correct,partial"
West Derby,north,Upper Gornal and Woodsetton,borders,Norris Green,near,Woolton,"West Derby borders Norris Green, near to Woolton, and north of Upper Gornal and Woodsetton",Which city borders Norris Green and is also near to Woolton and north of Upper Gornal and Woodsetton?,"A. Clubmoor
B. West Derby
C. Smithills",B. West Derby,"partial,correct,random"
South Elmsall and South Kirkby,north,Birley,borders,Hemsworth,near,Hemsworth,"South Elmsall and South Kirkby borders Hemsworth, near to Hemsworth, and north of Birley",Which city borders Hemsworth and is also near to Hemsworth and north of Birley?,"A. South Elmsall and South Kirkby
B. Dearne North
C. Norton",A. South Elmsall and South Kirkby,"correct,partial,random"
North East,north,Heath Town,borders,Crofton Ryhill and Walton,near,Hemsworth,"North East borders Crofton Ryhill and Walton, near to Hemsworth, and north of Heath Town",Which city borders Crofton Ryhill and Walton and is also near to Hemsworth and north of Heath Town?,"A. North East
B. Town
C. Middleton Park",A. North East,"correct,partial,random"
Hendon,north,Priory,borders,St. Peter's,near,Pallion,"Hendon borders St. Peter's, near to Pallion, and north of Priory",Which city borders St. Peter's and is also near to Pallion and north of Priory?,"A. Fellgate and Hedworth
B. Hyde Godley
C. Hendon",C. Hendon,"partial,random,correct"
Cherryfield,north,Northfield,borders,Fazakerley,near,Prescot,"Cherryfield borders Fazakerley, near to Prescot, and north of Northfield",Which city borders Fazakerley and is also near to Prescot and north of Northfield?,"A. Clubmoor
B. Cherryfield
C. Denton South",B. Cherryfield,"partial,correct,random"
Hulme,north,Hazel Grove,borders,Clifford,near,Weaste and Seedley,"Hulme borders Clifford, near to Weaste and Seedley, and north of Hazel Grove",Which city borders Clifford and is also near to Weaste and Seedley and north of Hazel Grove?,"A. Hulme
B. Moss Side
C. Kersal",A. Hulme,"correct,partial,random"
Morley South,north,Quarry Bank and Dudley Wood,borders,Ardsley and Robin Hood,close,Ilkley,"Morley South borders Ardsley and Robin Hood, close to Ilkley, and north of Quarry Bank and Dudley Wood",Which city borders Ardsley and Robin Hood and is also close to Ilkley and north of Quarry Bank and Dudley Wood?,"A. Moortown
B. Cherryfield
C. Morley South",C. Morley South,"partial,random,correct"
Cullercoats,north,Greenbank,borders,Preston,close,Washington Central,"Cullercoats borders Preston, close to Washington Central, and north of Greenbank",Which city borders Preston and is also close to Washington Central and north of Greenbank?,"A. Walker
B. East Gosforth
C. Cullercoats",C. Cullercoats,"random,partial,correct"
Hall Green,north,Dorridge and Hockley Heath,borders,Springfield,close,Old Warley,"Hall Green borders Springfield, close to Old Warley, and north of Dorridge and Hockley Heath",Which city borders Springfield and is also close to Old Warley and north of Dorridge and Hockley Heath?,"A. St. Helens
B. Hall Green
C. Bilston East",B. Hall Green,"random,correct,partial"
Bradford,north,Kingstanding,borders,Audenshaw,close,Little Lever and Darcy Lever,"Bradford borders Audenshaw, close to Little Lever and Darcy Lever, and north of Kingstanding",Which city borders Audenshaw and is also close to Little Lever and Darcy Lever and north of Kingstanding?,"A. Haydock
B. Bradford
C. Castleford Central and Glasshoughton",B. Bradford,"partial,correct,random"
Moseley and Kings Heath,north,Blythe,borders,Edgbaston,close,Sutton Four Oaks,"Moseley and Kings Heath borders Edgbaston, close to Sutton Four Oaks, and north of Blythe",Which city borders Edgbaston and is also close to Sutton Four Oaks and north of Blythe?,"A. Otley and Yeadon
B. Moseley and Kings Heath
C. Kingshurst and Fordbridge",B. Moseley and Kings Heath,"random,correct,partial"
Calder,north,Pleck,borders,Littleborough Lakeside,close,Moorside,"Calder borders Littleborough Lakeside, close to Moorside, and north of Pleck",Which city borders Littleborough Lakeside and is also close to Moorside and north of Pleck?,"A. Altrincham
B. Newburn
C. Calder",C. Calder,"partial,random,correct"
Eccles,north,Priory,borders,Worsley,close,Failsworth East,"Eccles borders Worsley, close to Failsworth East, and north of Priory",Which city borders Worsley and is also close to Failsworth East and north of Priory?,"A. Eccles
B. St. Mary's
C. Coventry",A. Eccles,"correct,partial,random"
Golborne and Lowton West,north,Henley,borders,Lowton East,close,Shevington with Lower Ground,"Golborne and Lowton West borders Lowton East, close to Shevington with Lower Ground, and north of Henley",Which city borders Lowton East and is also close to Shevington with Lower Ground and north of Henley?,"A. Rumworth
B. Ryhope
C. Golborne and Lowton West",C. Golborne and Lowton West,"partial,random,correct"
Birtley,north,Batley West,borders,Washington South,close,Weetslade,"Birtley borders Washington South, close to Weetslade, and north of Batley West",Which city borders Washington South and is also close to Weetslade and north of Batley West?,"A. Birtley
B. Denton
C. Palfrey",A. Birtley,"correct,partial,random"
Hyde Werneth,north,Sutton Four Oaks,borders,Bredbury and Woodley,close,Woodhouse Park,"Hyde Werneth borders Bredbury and Woodley, close to Woodhouse Park, and north of Sutton Four Oaks",Which city borders Bredbury and Woodley and is also close to Woodhouse Park and north of Sutton Four Oaks?,"A. Moorside
B. Hyde Werneth
C. Winlaton and High Spen",B. Hyde Werneth,"partial,correct,random"
Walkden South,north,Shirley South,borders,Boothstown and Ellenbrook,close,West Heywood,"Walkden South borders Boothstown and Ellenbrook, close to West Heywood, and north of Shirley South",Which city borders Boothstown and Ellenbrook and is also close to West Heywood and north of Shirley South?,"A. Pheasey Park Farm
B. Gorton North
C. Walkden South",C. Walkden South,"random,partial,correct"
Tyburn,north,Shirley South,borders,Stockland Green,close,Upper Gornal and Woodsetton,"Tyburn borders Stockland Green, close to Upper Gornal and Woodsetton, and north of Shirley South",Which city borders Stockland Green and is also close to Upper Gornal and Woodsetton and north of Shirley South?,"A. Pedmore and Stourbridge East
B. Tyburn
C. Bentley and Darlaston North",B. Tyburn,"random,correct,partial"
