place1,dir,place2_Y,top,place2_Z,triplet,question,options,answer,option_sources
Monkseaton North,north,Hoyland Milton,borders,Monkseaton South,"Monkseaton North is north Hoyland Milton, borders Monkseaton South",Which city lies north to Hoyland Milton and borders Monkseaton South?,"A. Walkden South
B. Toller
C. Monkseaton North",C. Monkseaton North,"random,partial,correct"
Oscott,south,Old Town,within,Birmingham,"Oscott is south Old Town, within Birmingham",Which city lies south to Old Town and within Birmingham?,"A. Winstanley
B. Oscott
C. Kingstanding",B. Oscott,"random,correct,partial"
Oscott,east,Wednesbury North,borders,Streetly,"Oscott is east Wednesbury North, borders Streetly",Which city lies east to Wednesbury North and borders Streetly?,"A. Oscott
B. Whitefield
C. Longford",A. Oscott,"correct,random,partial"
Finstall,south,Boothstown and Ellenbrook,within,Sandwell,"Finstall is south Boothstown and Ellenbrook, within Sandwell",Which city lies south to Boothstown and Ellenbrook and within Sandwell?,"A. Finstall
B. Springfield
C. Westwood",A. Finstall,"correct,random,partial"
Finstall,west,Bablake,borders,Oldbury,"Finstall is west Bablake, borders Oldbury",Which city lies west to Bablake and borders Oldbury?,"A. Byker
B. Finstall
C. Aston",B. Finstall,"random,correct,partial"
Springfield,south,Picton Cheshire,within,West Midlands Euro Region,"Springfield is south Picton Cheshire, within West Midlands Euro Region",Which city lies south to Picton Cheshire and within West Midlands Euro Region?,"A. Springfield
B. Dore & Totley
C. Sherbourne Warwickshire",A. Springfield,"correct,random,partial"
Springfield,west,Chelmsley Wood,borders,Billesley,"Springfield is west Chelmsley Wood, borders Billesley",Which city lies west to Chelmsley Wood and borders Billesley?,"A. Kensington and Fairfield
B. Wollaston and Stourbridge Town
C. Springfield",C. Springfield,"random,partial,correct"
Clayton and Fairweather Green,east,Church,within,Yorkshire and the Humber Euro Region,"Clayton and Fairweather Green is east Church, within Yorkshire and the Humber Euro Region",Which city lies east to Church and within Yorkshire and the Humber Euro Region?,"A. Clayton and Fairweather Green
B. Rainhill
C. Wakefield Rural",A. Clayton and Fairweather Green,"correct,partial,random"
Clayton and Fairweather Green,north,Ryburn,borders,Thornton and Allerton,"Clayton and Fairweather Green is north Ryburn, borders Thornton and Allerton",Which city lies north to Ryburn and borders Thornton and Allerton?,"A. Tottington
B. Adel and Wharfedale
C. Clayton and Fairweather Green",C. Clayton and Fairweather Green,"random,partial,correct"
Sutton New Hall,south,St. Peter's,within,West Midlands Euro Region,"Sutton New Hall is south St. Peter's, within West Midlands Euro Region",Which city lies south to St. Peter's and within West Midlands Euro Region?,"A. Sutton New Hall
B. Weoley
C. Preston",A. Sutton New Hall,"correct,partial,random"
Sutton New Hall,east,Darlaston South,borders,Sutton Vesey,"Sutton New Hall is east Darlaston South, borders Sutton Vesey",Which city lies east to Darlaston South and borders Sutton Vesey?,"A. Battle Hill
B. Shard End
C. Sutton New Hall",C. Sutton New Hall,"random,partial,correct"
Stannington,south,Blaydon,within,Yorkshire and the Humber Euro Region,"Stannington is south Blaydon, within Yorkshire and the Humber Euro Region",Which city lies south to Blaydon and within Yorkshire and the Humber Euro Region?,"A. Soho and Victoria
B. Stannington
C. Orrell",B. Stannington,"partial,correct,random"
Stannington,north,Norton,borders,Stocksbridge & Upper Don,"Stannington is north Norton, borders Stocksbridge & Upper Don",Which city lies north to Norton and borders Stocksbridge & Upper Don?,"A. Horwich and Blackrod
B. Baguley
C. Stannington",C. Stannington,"random,partial,correct"
Crawcrook and Greenside,west,Birtley,within,North East Euro Region,"Crawcrook and Greenside is west Birtley, within North East Euro Region",Which city lies west to Birtley and within North East Euro Region?,"A. Fulwell
B. Crawcrook and Greenside
C. Prenton",B. Crawcrook and Greenside,"partial,correct,random"
Crawcrook and Greenside,north,Brooklands,borders,Chopwell and Rowlands Gill,"Crawcrook and Greenside is north Brooklands, borders Chopwell and Rowlands Gill",Which city lies north to Brooklands and borders Chopwell and Rowlands Gill?,"A. Kenton
B. Crawcrook and Greenside
C. Central Rochdale",B. Crawcrook and Greenside,"random,correct,partial"
Lozells and East Handsworth,south,Bede,within,West Midlands Euro Region,"Lozells and East Handsworth is south Bede, within West Midlands Euro Region",Which city lies south to Bede and within West Midlands Euro Region?,"A. Castle Eden
B. Adel and Wharfedale
C. Lozells and East Handsworth",C. Lozells and East Handsworth,"random,partial,correct"
Lozells and East Handsworth,west,Radford,borders,Handsworth Wood,"Lozells and East Handsworth is west Radford, borders Handsworth Wood",Which city lies west to Radford and borders Handsworth Wood?,"A. Lozells and East Handsworth
B. Greets Green and Lyng
C. Windhill and Wrose",A. Lozells and East Handsworth,"correct,partial,random"
Cross Gates and Whinmoor,east,Bryn,within,Yorkshire and the Humber Euro Region,"Cross Gates and Whinmoor is east Bryn, within Yorkshire and the Humber Euro Region",Which city lies east to Bryn and within Yorkshire and the Humber Euro Region?,"A. Bablake
B. Cross Gates and Whinmoor
C. Ashton Waterloo",B. Cross Gates and Whinmoor,"random,correct,partial"
Cross Gates and Whinmoor,north,Woodhouse,borders,Harewood,"Cross Gates and Whinmoor is north Woodhouse, borders Harewood",Which city lies north to Woodhouse and borders Harewood?,"A. Cross Gates and Whinmoor
B. Whickham North
C. Harton",A. Cross Gates and Whinmoor,"correct,partial,random"
Irwell Riverside,south,Whitley Bay,within,North West Euro Region,"Irwell Riverside is south Whitley Bay, within North West Euro Region",Which city lies south to Whitley Bay and within North West Euro Region?,"A. Irwell Riverside
B. St. Peter's
C. Blakenall",A. Irwell Riverside,"correct,random,partial"
Irwell Riverside,west,North East,borders,Pendlebury,"Irwell Riverside is west North East, borders Pendlebury",Which city lies west to North East and borders Pendlebury?,"A. Irwell Riverside
B. Weetwood
C. Weaste and Seedley",A. Irwell Riverside,"correct,random,partial"
Newsome,south,Ryton Crookhill and Stella,within,Yorkshire and the Humber Euro Region,"Newsome is south Ryton Crookhill and Stella, within Yorkshire and the Humber Euro Region",Which city lies south to Ryton Crookhill and Stella and within Yorkshire and the Humber Euro Region?,"A. Fenham
B. Pendlebury
C. Newsome",C. Newsome,"random,partial,correct"
Newsome,east,Saddleworth,borders,Crosland Moor and Netherton,"Newsome is east Saddleworth, borders Crosland Moor and Netherton",Which city lies east to Saddleworth and borders Crosland Moor and Netherton?,"A. Newsome
B. Prescot
C. Park & Arbourthorne",A. Newsome,"correct,random,partial"
Ettingshall,south,Silverwood,within,West Midlands Euro Region,"Ettingshall is south Silverwood, within West Midlands Euro Region",Which city lies south to Silverwood and within West Midlands Euro Region?,"A. Ettingshall
B. Wednesfield South
C. Clatterbridge",A. Ettingshall,"correct,partial,random"
Ettingshall,north,Sedgley,borders,Bilston North,"Ettingshall is north Sedgley, borders Bilston North",Which city lies north to Sedgley and borders Bilston North?,"A. Ettingshall
B. Shirley West
C. Crofton Ryhill and Walton",A. Ettingshall,"correct,random,partial"
East Park,south,Kersal,within,West Midlands Euro Region,"East Park is south Kersal, within West Midlands Euro Region",Which city lies south to Kersal and within West Midlands Euro Region?,"A. Bilston North
B. City Centre
C. East Park",C. East Park,"partial,random,correct"
East Park,north,Brierley Hill,borders,Ettingshall,"East Park is north Brierley Hill, borders Ettingshall",Which city lies north to Brierley Hill and borders Ettingshall?,"A. East Park
B. Gorton South
C. East",A. East Park,"correct,partial,random"
Swinton South,west,Stocksbridge & Upper Don,within,City of Salford,"Swinton South is west Stocksbridge & Upper Don, within City of Salford",Which city lies west to Stocksbridge & Upper Don and within City of Salford?,"A. Keighley East
B. Swinton South
C. Claremont",B. Swinton South,"random,correct,partial"
Swinton South,south,Wallsend,borders,Eccles,"Swinton South is south Wallsend, borders Eccles",Which city lies south to Wallsend and borders Eccles?,"A. Swinton South
B. Batley West
C. Haydock",A. Swinton South,"correct,partial,random"
Harington,west,Little Lever and Darcy Lever,within,Metropolitan Borough of Sefton,"Harington is west Little Lever and Darcy Lever, within Metropolitan Borough of Sefton",Which city lies west to Little Lever and Darcy Lever and within Metropolitan Borough of Sefton?,"A. Harington
B. Fawdon
C. Birkdale",A. Harington,"correct,random,partial"
Harington,south,Hetton-le-Hole,borders,Ravenmeols,"Harington is south Hetton-le-Hole, borders Ravenmeols",Which city lies south to Hetton-le-Hole and borders Ravenmeols?,"A. Bradford
B. Darnall
C. Harington",C. Harington,"partial,random,correct"
Monkseaton South,north,Davyhulme East,within,North East Euro Region,"Monkseaton South is north Davyhulme East, within North East Euro Region",Which city lies north to Davyhulme East and within North East Euro Region?,"A. Stockland Green
B. Monkseaton South
C. North Manor",B. Monkseaton South,"random,correct,partial"
Monkseaton South,east,Benton,borders,St. Mary's,"Monkseaton South is east Benton, borders St. Mary's",Which city lies east to Benton and borders St. Mary's?,"A. West Park
B. Monkseaton South
C. Church",B. Monkseaton South,"partial,correct,random"
Tyldesley,south,Monkseaton South,within,Metropolitan Borough of Wigan,"Tyldesley is south Monkseaton South, within Metropolitan Borough of Wigan",Which city lies south to Monkseaton South and within Metropolitan Borough of Wigan?,"A. Woodhouse
B. Tyldesley
C. Ashton St. Michael's",B. Tyldesley,"random,correct,partial"
Tyldesley,east,Seacombe,borders,Atherton,"Tyldesley is east Seacombe, borders Atherton",Which city lies east to Seacombe and borders Atherton?,"A. Adel and Wharfedale
B. Tyldesley
C. Yew Tree",B. Tyldesley,"partial,correct,random"
Hateley Heath,south,Wheatley Hills & Intake,within,West Midlands Euro Region,"Hateley Heath is south Wheatley Hills & Intake, within West Midlands Euro Region",Which city lies south to Wheatley Hills & Intake and within West Midlands Euro Region?,"A. Sitwell
B. Roman Ridge
C. Hateley Heath",C. Hateley Heath,"partial,random,correct"
Hateley Heath,west,Westwood,borders,Wednesbury South,"Hateley Heath is west Westwood, borders Wednesbury South",Which city lies west to Westwood and borders Wednesbury South?,"A. Penn
B. Holme Valley North
C. Hateley Heath",C. Hateley Heath,"partial,random,correct"
Rainhill,north,Belle Vale,borders,Eccleston St Helens,"Rainhill is north Belle Vale, borders Eccleston St Helens",Which city lies north to Belle Vale and borders Eccleston St Helens?,"A. City of Bradford
B. Rainhill
C. Sharston",B. Rainhill,"random,correct,partial"
Worsley,north,Brooklands,within,City of Salford,"Worsley is north Brooklands, within City of Salford",Which city lies north to Brooklands and within City of Salford?,"A. Fulwell
B. Kersal
C. Worsley",C. Worsley,"random,partial,correct"
Worsley,west,Levenshulme,borders,Eccles,"Worsley is west Levenshulme, borders Eccles",Which city lies west to Levenshulme and borders Eccles?,"A. Birkdale
B. Worsley
C. Ryton Crookhill and Stella",B. Worsley,"partial,correct,random"
Failsworth East,south,Chirton,within,Metropolitan Borough of Oldham,"Failsworth East is south Chirton, within Metropolitan Borough of Oldham",Which city lies south to Chirton and within Metropolitan Borough of Oldham?,"A. Blakenhall
B. Bebington
C. Failsworth East",C. Failsworth East,"random,partial,correct"
Failsworth East,east,Picton Cheshire,borders,Failsworth West,"Failsworth East is east Picton Cheshire, borders Failsworth West",Which city lies east to Picton Cheshire and borders Failsworth West?,"A. Failsworth East
B. Astley Mosley Common
C. Ryburn",A. Failsworth East,"correct,random,partial"
Armthorpe,north,Heath Town,within,Metropolitan Borough of Doncaster,"Armthorpe is north Heath Town, within Metropolitan Borough of Doncaster",Which city lies north to Heath Town and within Metropolitan Borough of Doncaster?,"A. Armthorpe
B. City
C. Alexandra",A. Armthorpe,"correct,random,partial"
Armthorpe,east,Cadishead,borders,Hatfield,"Armthorpe is east Cadishead, borders Hatfield",Which city lies east to Cadishead and borders Hatfield?,"A. Armthorpe
B. Cheadle Hulme North
C. Thorne & Moorends",A. Armthorpe,"correct,random,partial"
Chelmsley Wood,south,West Park,within,Metropolitan Borough of Solihull,"Chelmsley Wood is south West Park, within Metropolitan Borough of Solihull",Which city lies south to West Park and within Metropolitan Borough of Solihull?,"A. Ecclesall
B. Chelmsley Wood
C. East Middleton",B. Chelmsley Wood,"random,correct,partial"
Chelmsley Wood,east,East Park,borders,Smith's Wood,"Chelmsley Wood is east East Park, borders Smith's Wood",Which city lies east to East Park and borders Smith's Wood?,"A. Chelmsley Wood
B. Bebington
C. Wainbody",A. Chelmsley Wood,"correct,random,partial"
Littleborough Lakeside,south,Saltwell,within,North West Euro Region,"Littleborough Lakeside is south Saltwell, within North West Euro Region",Which city lies south to Saltwell and within North West Euro Region?,"A. Wharfedale
B. Central
C. Littleborough Lakeside",C. Littleborough Lakeside,"random,partial,correct"
Littleborough Lakeside,north,Shaw,borders,Milnrow and Newhey,"Littleborough Lakeside is north Shaw, borders Milnrow and Newhey",Which city lies north to Shaw and borders Milnrow and Newhey?,"A. Shipley
B. Northenden
C. Littleborough Lakeside",C. Littleborough Lakeside,"partial,random,correct"
Redvales,east,Pensby and Thingwall,within,Metropolitan Borough of Bury,"Redvales is east Pensby and Thingwall, within Metropolitan Borough of Bury",Which city lies east to Pensby and Thingwall and within Metropolitan Borough of Bury?,"A. Redvales
B. Bebington
C. Cheadle Hulme North",A. Redvales,"correct,random,partial"
Redvales,west,Dore & Totley,borders,Radcliffe East,"Redvales is west Dore & Totley, borders Radcliffe East",Which city lies west to Dore & Totley and borders Radcliffe East?,"A. Brighouse
B. Redvales
C. Walkden South",B. Redvales,"random,correct,partial"
